,B_cell,Erythrocyte,Macrophage,Monocyte,NK_cell,Neutrophil,Plasma,T_cell,cDC1
56,Ccnd2,Stat5a,Mir155hg,Plpp1,Itga4,Slc15a3,Casc4,Slco5a1,Foxp1
57,Sgk1,Hspb8,Trpm2,Hsph1,Cbx4,Birc3,Hmox1,Ebf1,Arhgap31
58,Crim1,Fbxo32,Lfng,Slc2a3,Rab20,Oaf,Map1b,Tjp1,Fam91a1
59,Pamr1,Ptn,Itgb2,Nrp1,Rell1,Card19,Baiap2,Rasgrp3,Ace2
60,Prune2,Mdm2,Stk40,Fgd5,Ifi204,Runx3,Synpo2,Nrip1,Slc2a3
61,Gucy1b1,Thbs1,Gpsm1,Prnp,Itgb7,Srgap2,Pls3,Peg3,Traf1
62,Rabgap1l,Eva1c,Slc49a4,Vcam1,Slpi,Gk,Osmr,Prl8a2,Gngt2
63,Atp8b1,Lamc1,Pik3cb,Ebf1,Dleu2,Ranbp2,Fas,Gm8369,Zfand2a
64,Tpbpb,Por,Tgm2,Tbc1d1,Gm20559,Wdfy4,Pde5a,Hck,Birc3
65,Hspb8,Fcer1g,Rapgef6,Fryl,Gripap1,Dhx40,Rnf213,Ceacam14,Hdac4
66,Meg3,Vcan,Smox,Nr4a3,Spsb1,Lilr4b,Flrt2,H19,Fbxo32
67,Gpsm1,Adssl1,Slfn4,Spsb1,Lacc1,Kctd12,Gja1,Phactr1,Resf1
68,Chchd10,Mef2c,Madd,Nrp2,Lfng,Ivns1abp,Aspn,Hk2,Rab6b
69,Hsph1,Unc5b,Rab11fip1,Tbx3,Rtp4,Klhl24,Ranbp2,Gpr183,Sbsn
70,Mxd1,Atg2a,Il2rg,Atm,Fam20c,Rnd3,Tcf7l2,Cttn,Itpkb
71,Cp,Chchd10,Cd44,Flnc,Nrros,Trib1,Nrip1,Dok3,St8sia4
72,Samsn1,Hdac4,Sgk1,Trib1,Tbc1d1,Srgn,Emp1,Grap,Ptgfrn
73,Prl2c5,Slc40a1,Pilra,Rapgef5,Pilra,Itgb7,Vcam1,Bcl2a1b,Grasp
74,Clec4e,Plpp1,Por,Cp,Birc3,Zfand2a,Rnd3,Ptgfrn,Txk
75,Ms4a4c,Hmox1,Itga5,Tcirg1,Fmnl1,Fryl,Crim1,Cacna1d,Nfatc1
76,Slfn5,Itgb7,Nfatc1,Hspb8,Slc2a3,Rtp4,Ehbp1l1,Cpm,Jak2
77,Cd74,Rab7b,Oasl2,Fam20c,Ptpre,Ldlr,Trib1,Gramd3,Trib1
78,Hpgds,Cntrl,Fmnl1,Birc3,Creb3l1,Nfkbid,Flt1,Otud4,Stk10
79,Tsix,Col5a2,Mitf,Suz12,Pparg,Stk40,Fbxo32,Tfdp2,Tfdp2
80,Prss12,Nfkbiz,Smarca4,Dgka,Oasl1,Nrros,Rtp4,Serpinb9d,Baiap2
81,Zfand2a,Gfod1,Klhl24,Cdk18,Adgrg6,Slc29a3,Prkaa2,Nlrp3,Ranbp2
82,Anxa3,Adamts9,Clec4d,Tnc,Gm47283,Nfkbiz,Podxl,Swap70,Prkcq
83,Lef1,Il7r,Pou2f2,Bcl11b,Fbxo32,Slc24a1,Cbx4,Shroom3,Lmnb1
84,Ebf2,Tmx4,Rab7b,Kctd12,Adssl1,Malat1,Pxdn,Klhl24,Ctsc
85,Tmx4,S100a6,Itk,Slc29a3,Gfod1,Vcan,Ivns1abp,Myo1g,Ms4a4c
86,Cbfa2t3,Ssh2,Dgka,Cemip,Tram2,Gpr183,Tjp1,Il2rg,Otud4
87,Serpinb9d,Pnpla7,Peg3,Lamb1,Prnp,Rabgef1,Pmaip1,Anxa3,Fmnl1
88,Cbx4,Jak2,Fryl,Ptn,Srgn,Slpi,Ccn1,Osgin1,Pls3
89,Hk2,Il1rn,Txk,Rab20,Malt1,Gfod1,Thbs1,Pth1r,Lfng
90,Thbs1,Nrip1,Chchd10,Svep1,Tnfaip3,Iqgap2,Hk2,Col4a1,Prss12
91,Pappa2,Prune2,Cyp4f18,Srgap2,Lmnb1,Grasp,Cpe,Gripap1,Csf3r
92,Ctsm,Slfn4,Gpc3,Grasp,Jade1,Tcirg1,Tram2,Itgb8,Slc4a8
93,Slco5a1,Isg20,Srgap2,Pth1r,Rabgef1,Ptprc,Svep1,Ms4a4b,Dhx40
94,Ifih1,Rnd3,Cdk18,Gucy1b1,Osgin1,Afdn,Fam91a1,Jade1,Swap70
95,Hbb-bs,Cd79a,Stap1,Tcf7l2,Nr4a3,Lmnb1,Nid1,Rabgap1l,Lst1
96,Rhoh,Ifi204,Oasl1,Plaur,Trem1,Plaur,Plagl1,Aifm3,Parp14
97,Spon1,Fgfr1,Prkcq,Creb3l1,Tgm2,Hpgds,Gucy1b1,Gngt2,Nfkbiz
98,Rel,Gucy1b1,Fam20c,Axin2,Lst1,Nrip1,S1pr1,Sct,Pmaip1
99,Serpinb9g,Clec4d,Serpinb9b,Pde5a,Tmem154,Arhgap31,Rab11fip1,Ralgps2,Srgap2
