tissue,score
Liver,737.465543624489
Immune system,729.306675244989
Stomach,579.117716113875
Intestine,473.379993326617
Kidney,455.758721774274
Muscle,448.399452060389
Placenta,447.438897095929
Adrenal,445.262067403115
Heart,439.489039712153
Pancreas,420.292885210493
Lung,415.162339510286
Brain,357.242709888843
Eye,347.849110749755
Thymus,299.172352972216
Spleen,246.577180171394
