celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
IMGN_NK_DAP12-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_DAP12-_Sp,50,8,3.6003600235557e-15,2.43144313590795e-13
IMGN_NK_H+_MCMV1_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_H+_MCMV1_Sp,50,8,3.6003600235557e-15,2.43144313590795e-13
IMGN_NK_MCMV1_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_MCMV1_Sp,50,8,3.6003600235557e-15,2.43144313590795e-13
IMGN_T_8Eff_Sp_OT1_d10_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d10_LisOva,50,8,3.6003600235557e-15,2.43144313590795e-13
IMGN_T_8Eff_Sp_OT1_d15_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_LisOva,50,8,3.6003600235557e-15,2.43144313590795e-13
IMGN_T_8Mem_Sp_OT1_d100_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d100_LisOva,50,8,3.6003600235557e-15,2.43144313590795e-13
IMGN_T_8Mem_Sp_OT1_d106_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d106_VSVOva,50,8,3.6003600235557e-15,2.43144313590795e-13
IMGN_T_8Mem_Sp_OT1_d45_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d45_LisOva,50,8,3.6003600235557e-15,2.43144313590795e-13
IMGN_Tgd_vg2-_Sp_TCRbko | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2-_Sp_TCRbko,50,8,3.6003600235557e-15,2.43144313590795e-13
IMGN_Tgd_vg5-_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5-_IEL,50,8,3.6003600235557e-15,2.43144313590795e-13
IMGN_Tgd_vg5+_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5+_IEL,50,8,3.6003600235557e-15,2.43144313590795e-13
CD8plus_T-cell | SaVanT,SaVanT,,,CD8plus_T-cell,50,8,4.26643859134821e-15,2.75866103810792e-13
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS,51,8,4.26643859134821e-15,2.75866103810792e-13
CD4+ T CELL | ARCHS4,ARCHS4,,,CD4+ T CELL,1182,17,1.73854439046547e-14,1.10071591721345e-12
T cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T cells,69,8,7.8725720227912e-14,4.88260130148213e-12
IMGN_T_8Eff_Sp_OT1_d6_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_LisOva,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_T_8Eff_Sp_OT1_d6_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d6_VSVOva,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_T_8Eff_Sp_OT1_d8_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_LisOva,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_T_8Eff_Sp_OT1_d8_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d8_VSVOva,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_T_8Mem_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_LN,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_T_8Mem_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_Tgd_vg1+vd6-24alo_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg1+vd6-24alo_Th,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_Tgd_vg2-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2-_Sp,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_Tgd_vg2+_act_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+_act_Sp,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_Tgd_vg2+_Sp_TCRbko | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+_Sp_TCRbko,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_Tgd_vg5-_act_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5-_act_IEL,50,7,6.34210244081135e-13,3.15961464223372e-11
IMGN_Tgd_vg5+_act_IEL | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5+_act_IEL,50,7,6.34210244081135e-13,3.15961464223372e-11
PERIPHERAL BLOOD | ARCHS4,ARCHS4,,,PERIPHERAL BLOOD,1330,16,4.71113586630365e-12,2.30921643511239e-10
NK cells_BLUEPRINT_3 | Human | xCell,xCell,Human,,NK cells_BLUEPRINT_3,17,5,3.04725380955684e-11,1.46993719480051e-09
IMGN_NKT_44+NK1_1+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_44+NK1_1+_Th,50,6,8.99346398682997e-11,3.79599125777448e-09
IMGN_T_8Nve_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_LN,50,6,8.99346398682997e-11,3.79599125777448e-09
IMGN_T_8Nve_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_Sp,50,6,8.99346398682997e-11,3.79599125777448e-09
IMGN_T_8Nve_Sp_OT1 | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_Sp_OT1,50,6,8.99346398682997e-11,3.79599125777448e-09
IMGN_T_8SP24-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8SP24-_Th,50,6,8.99346398682997e-11,3.79599125777448e-09
IMGN_Tgd_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_Sp,50,6,8.99346398682997e-11,3.79599125777448e-09
IMGN_Tgd_vg2-_act_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2-_act_Sp,50,6,8.99346398682997e-11,3.79599125777448e-09
IMGN_Tgd_vg2+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+_Sp,50,6,8.99346398682997e-11,3.79599125777448e-09
NK_cells | SaVanT,SaVanT,,,NK_cells,50,6,8.99346398682997e-11,3.79599125777448e-09
CD8+ Tem_BLUEPRINT_2 | Human | xCell,xCell,Human,,CD8+ Tem_BLUEPRINT_2,97,7,9.70465177886399e-11,4.04005982958461e-09
MA_Tmemory | Human | SaVanT,SaVanT,Human,,MA_Tmemory,50,6,1.01828001373837e-10,4.12607061566787e-09
NK_cell | SaVanT,SaVanT,,,NK_cell,50,6,1.01828001373837e-10,4.12607061566787e-09
NK cells_NOVERSHTERN_3 | Human | xCell,xCell,Human,,NK cells_NOVERSHTERN_3,7,4,2.77833612831762e-10,1.11096888078385e-08
Basophils_NOVERSHTERN_1 | Human | xCell,xCell,Human,,Basophils_NOVERSHTERN_1,31,5,9.77074672933077e-10,3.85627263771899e-08
Natural killer cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Natural killer cell,12,4,1.95682994811975e-09,7.62411052863581e-08
Tgd cells_HPCA_1 | Human | xCell,xCell,Human,,Tgd cells_HPCA_1,96,6,5.34539765288817e-09,2.05628651482622e-07
IMGN_NKT_4-_Lv | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_4-_Lv,50,5,1.00988590890834e-08,3.61063914961463e-07
IMGN_NKT_4-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_4-_Sp,50,5,1.00988590890834e-08,3.61063914961463e-07
IMGN_NKT_4+_Lv | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_4+_Lv,50,5,1.00988590890834e-08,3.61063914961463e-07
IMGN_T_8Nve_MLN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_MLN,50,5,1.00988590890834e-08,3.61063914961463e-07
IMGN_Tgd_vg1+vd6+24alo_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg1+vd6+24alo_Th,50,5,1.00988590890834e-08,3.61063914961463e-07
IMGN_Tgd_vg3+24alo_e17_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg3+24alo_e17_Th,50,5,1.00988590890834e-08,3.61063914961463e-07
Natural killer cell | Human | CellMarker,CellMarker,Human,,Natural killer cell,52,5,1.2363204986224e-08,4.36881162245751e-07
Effector CD8+ memory T (Tem) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Effector CD8+ memory T (Tem) cell,52,5,1.50142713936226e-08,5.24464031784128e-07
Tgd cells_HPCA_3 | Human | xCell,xCell,Human,,Tgd cells_HPCA_3,117,6,1.74677460153115e-08,6.03232728869677e-07
NK cells_HPCA_2 | Human | xCell,xCell,Human,,NK cells_HPCA_2,26,4,6.83444864415335e-08,2.30776549217578e-06
NK cells_HPCA_3 | Human | xCell,xCell,Human,,NK cells_HPCA_3,27,4,6.83444864415335e-08,2.30776549217578e-06
NK cells_BLUEPRINT_2 | Human | xCell,xCell,Human,,NK cells_BLUEPRINT_2,28,4,7.9655443700998e-08,2.66014168579487e-06
Decidual cells | Reproductive | Human | PanglaoDB,PanglaoDB,Human,Reproductive,Decidual cells,7,3,1.05547650449809e-07,3.44902483566633e-06
Decidual cells | Reproductive | Mouse | PanglaoDB,PanglaoDB,Mouse,Reproductive,Decidual cells,7,3,1.05547650449809e-07,3.44902483566633e-06
Lymphoid cell | Human | CellMarker,CellMarker,Human,,Lymphoid cell,32,4,1.39338755164915e-07,4.50479230793806e-06
NK cells_HPCA_1 | Human | xCell,xCell,Human,,NK cells_HPCA_1,35,4,2.27334321452606e-07,7.27230529362601e-06
CD8+ Tcm_HPCA_3 | Human | xCell,xCell,Human,,CD8+ Tcm_HPCA_3,38,4,3.16482302319512e-07,1.00186428828021e-05
NK cells_FANTOM_1 | Human | xCell,xCell,Human,,NK cells_FANTOM_1,10,3,3.60807086520225e-07,1.13040488240718e-05
Tgd cells_HPCA_2 | Human | xCell,xCell,Human,,Tgd cells_HPCA_2,108,5,5.25261873658343e-07,1.62884778984459e-05
CD8+ Tem_HPCA_2 | Human | xCell,xCell,Human,,CD8+ Tem_HPCA_2,107,5,5.49729490121274e-07,1.6729539888134e-05
REGULATORY T CELLS | ARCHS4,ARCHS4,,,REGULATORY T CELLS,1199,11,5.50494895957025e-07,1.6729539888134e-05
Megakaryocyte erythroid cell | Human | CellMarker,CellMarker,Human,,Megakaryocyte erythroid cell,48,4,7.41980226757181e-07,2.23255238526245e-05
IMGN_NKT_4+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_4+_Sp,50,4,8.76431965019433e-07,2.35445531047228e-05
IMGN_T_8Eff_Sp_OT1_12hr_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_12hr_LisOva,50,4,8.76431965019433e-07,2.35445531047228e-05
IMGN_T_8Eff_Sp_OT1_24hr_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_24hr_LisOva,50,4,8.76431965019433e-07,2.35445531047228e-05
IMGN_T_8Eff_Sp_OT1_d5_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d5_VSVOva,50,4,8.76431965019433e-07,2.35445531047228e-05
IMGN_T_8Nve_PP | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Nve_PP,50,4,8.76431965019433e-07,2.35445531047228e-05
IMGN_T_8SP69+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8SP69+_Th,50,4,8.76431965019433e-07,2.35445531047228e-05
MA_iTreg | Human | SaVanT,SaVanT,Human,,MA_iTreg,50,4,8.76431965019433e-07,2.35445531047228e-05
MA_iTreg_IL-2 | Human | SaVanT,SaVanT,Human,,MA_iTreg_IL-2,50,4,8.76431965019433e-07,2.35445531047228e-05
MA_Tstim | Human | SaVanT,SaVanT,Human,,MA_Tstim,50,4,8.76431965019433e-07,2.35445531047228e-05
T cell | Human | CellMarker,CellMarker,Human,,T cell,50,4,8.76431965019433e-07,2.35445531047228e-05
T-cells_CD8+ | SaVanT,SaVanT,,,T-cells_CD8+,50,4,8.76431965019433e-07,2.35445531047228e-05
Th2_Harvard | SaVanT,SaVanT,,,Th2_Harvard,50,4,8.76431965019433e-07,2.35445531047228e-05
CD8+ Tem_HPCA_1 | Human | xCell,xCell,Human,,CD8+ Tem_HPCA_1,118,5,8.83211271450607e-07,2.35445531047228e-05
MA_Tconv | Human | SaVanT,SaVanT,Human,,MA_Tconv,50,4,9.50069962646368e-07,2.48901949696751e-05
MA_Tnaive | Human | SaVanT,SaVanT,Human,,MA_Tnaive,50,4,9.50069962646368e-07,2.48901949696751e-05
TLP | SaVanT,SaVanT,,,TLP,50,4,1.02821219245138e-06,2.67071525885448e-05
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,114,5,1.26045313342156e-06,3.24620090887129e-05
HBA_CD4+_Tcells | Human | SaVanT,SaVanT,Human,,HBA_CD4+_Tcells,50,4,1.29143913183671e-06,3.27056960137647e-05
HBA_CD8+_Tcells | Human | SaVanT,SaVanT,Human,,HBA_CD8+_Tcells,50,4,1.29143913183671e-06,3.27056960137647e-05
CD8+ Tem_NOVERSHTERN_2 | Human | xCell,xCell,Human,,CD8+ Tem_NOVERSHTERN_2,14,3,1.36132181136045e-06,3.41905535927636e-05
CD8+ Tem_NOVERSHTERN_3 | Human | xCell,xCell,Human,,CD8+ Tem_NOVERSHTERN_3,16,3,2.0304887935855e-06,4.97633503524705e-05
Natural killer T cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Natural killer T cells,17,3,2.0304887935855e-06,4.97633503524705e-05
Natural killer T cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Natural killer T cells,17,3,2.0304887935855e-06,4.97633503524705e-05
CD8+ T-cells_HPCA_3 | Human | xCell,xCell,Human,,CD8+ T-cells_HPCA_3,18,3,2.88773783193984e-06,6.96494862798824e-05
CD8+ Tem_NOVERSHTERN_1 | Human | xCell,xCell,Human,,CD8+ Tem_NOVERSHTERN_1,18,3,2.88773783193984e-06,6.96494862798824e-05
PLASMACYTOID DENDRITIC CELL | ARCHS4,ARCHS4,,,PLASMACYTOID DENDRITIC CELL,1463,11,3.26100920847267e-06,7.80331258625863e-05
ZHENG_CORD_BLOOD_C8_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_2 | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C8_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_2,68,4,4.04780718840855e-06,9.61037972310437e-05
BLOOD PBMC | ARCHS4,ARCHS4,,,BLOOD PBMC,1489,11,4.52122493106039e-06,0.000106511647794516
NK cells_FANTOM_3 | Human | xCell,xCell,Human,,NK cells_FANTOM_3,6,2,3.27413392335215e-05,0.000765391768697475
CORD BLOOD | ARCHS4,ARCHS4,,,CORD BLOOD,1190,9,3.58288125851156e-05,0.000831173751497453
GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS | Human | MSigDB,MSigDB,Human,,GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS,260,5,3.75478848916187e-05,0.000864454713527495
SPLEEN (BULK TISSUE) | ARCHS4,ARCHS4,,,SPLEEN (BULK TISSUE),1487,10,4.13218539670571e-05,0.000944188828615689
IFNG_24 | SaVanT,SaVanT,,,IFNG_24,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_DC_8-4-11b-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_8-4-11b-_Sp,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_DC_8-4-11b+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_8-4-11b+_Sp,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_NKT_44+NK1_1-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_44+NK1_1-_Th,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_T_4int8+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4int8+_Th,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_T_4Mem_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4Mem_Sp,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_T_4Mem44h62l_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4Mem44h62l_Sp,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_T_8Eff_Sp_OT1_48hr_LisOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_48hr_LisOva,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_T_8SP24int_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8SP24int_Th,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_Tgd_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_Th,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_Tgd_vg1+vd6-24ahi_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg1+vd6-24ahi_Th,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_Tgd_vg1+vd6+24ahi_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg1+vd6+24ahi_Th,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_Tgd_vg2+24alo_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+24alo_Th,50,3,5.6649851367659e-05,0.0011326243309626
IMGN_Tgd_vg5+24ahi_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg5+24ahi_Th,50,3,5.6649851367659e-05,0.0011326243309626
MA_M_GMCSF_TNF_PGE2_72h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_TNF_PGE2_72h,50,3,5.6649851367659e-05,0.0011326243309626
MA_T_CD3+ | Human | SaVanT,SaVanT,Human,,MA_T_CD3+,50,3,5.6649851367659e-05,0.0011326243309626
Mast cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Mast cell,46,3,5.6649851367659e-05,0.0011326243309626
Th1_Harvard | SaVanT,SaVanT,,,Th1_Harvard,50,3,5.6649851367659e-05,0.0011326243309626
thymocyte_SP_CD8+ | SaVanT,SaVanT,,,thymocyte_SP_CD8+,50,3,5.6649851367659e-05,0.0011326243309626
MA_Treg | Human | SaVanT,SaVanT,Human,,MA_Treg,50,3,6.01310877054721e-05,0.00119436846756163
CD8+ Tcm_HPCA_2 | Human | xCell,xCell,Human,,CD8+ Tcm_HPCA_2,8,2,6.10046379754829e-05,0.00120385126498372
LLP | SaVanT,SaVanT,,,LLP,50,3,6.37496311042285e-05,0.00124990405758549
HBA_BDCA4+_DentriticCells | Human | SaVanT,SaVanT,Human,,HBA_BDCA4+_DentriticCells,50,3,6.75079468937154e-05,0.00131510673467949
CD8+ cytotoxic T cell | Human | CellMarker,CellMarker,Human,,CD8+ cytotoxic T cell,9,2,7.83623018225526e-05,0.00151683461935502
Large granular lymphocyte | Human | TISSUES,TISSUES,Human,,Large granular lymphocyte,10,2,9.78626755065608e-05,0.00185877919290274
Natural killer cell | Human | TISSUES,TISSUES,Human,,Natural killer cell,10,2,9.78626755065608e-05,0.00185877919290274
Null cell | Human | TISSUES,TISSUES,Human,,Null cell,10,2,9.78626755065608e-05,0.00185877919290274
ZHONG_PFC_MAJOR_TYPES_MICROGLIA | Human | MSigDB,MSigDB,Human,,ZHONG_PFC_MAJOR_TYPES_MICROGLIA,323,5,0.000110973620181601,0.00209471324057071
Cytotoxic T cell | Human | CellMarker,CellMarker,Human,,Cytotoxic T cell,13,2,0.000169160513688074,0.00317332593270405
Microglial cell | Embryonic prefrontal cortex | Human | CellMarker,CellMarker,Human,Embryonic prefrontal cortex,Microglial cell,356,5,0.00017390905813247,0.0032423903537704
NK cells_IRIS_2 | Human | xCell,xCell,Human,,NK cells_IRIS_2,14,2,0.000197172243730358,0.0036315542345246
Primordial germ cell | Human | CellMarker,CellMarker,Human,,Primordial germ cell,14,2,0.000197172243730358,0.0036315542345246
MANNO_MIDBRAIN_NEUROTYPES_HPERIC | Human | MSigDB,MSigDB,Human,,MANNO_MIDBRAIN_NEUROTYPES_HPERIC,594,6,0.000211587575308481,0.00387358217688238
CD8+ T-cells_BLUEPRINT_3 | Human | xCell,xCell,Human,,CD8+ T-cells_BLUEPRINT_3,15,2,0.000227297000948665,0.00413626099331133
Blood | Human | TISSUES,TISSUES,Human,,Blood,1651,9,0.000449866357324141,0.00813776107088134
Macrophage | Human | TISSUES,TISSUES,Human,,Macrophage,21,2,0.000543658332631836,0.00977619924774052
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA,266,4,0.00067018080311403,0.0119804674156679
Monocyte | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Monocyte,26,2,0.000696449691001863,0.0123772550348226
