celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_NK_CELLS,62,20,8.21372816195626e-46,2.49615198841851e-42
NK cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,NK cells,58,17,8.03782494501821e-38,1.22134750039552e-34
FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL,94,18,2.68869463079919e-35,2.72364766099958e-32
HAY_BONE_MARROW_NK_CELLS | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_NK_CELLS,264,20,1.38419126924396e-32,8.58780258418481e-30
HBA_CD56+_NKCells | Human | SaVanT,SaVanT,Human,,HBA_CD56+_NKCells,50,15,1.4129323106589e-32,8.58780258418481e-30
AIZARANI_LIVER_C5_NK_NKT_CELLS_3 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C5_NK_NKT_CELLS_3,88,16,1.60874563514704e-31,8.14829664201974e-29
Gamma delta T cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Gamma delta T cells,30,13,3.67730961396698e-31,1.59647770240652e-28
Gamma delta T cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Gamma delta T cells,43,14,4.81520233683417e-31,1.82917498770488e-28
NK cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,NK cells,51,14,2.58774049955649e-30,8.73793708683573e-28
MA_NK_cells | Human | SaVanT,SaVanT,Human,,MA_NK_cells,50,13,1.44369570437188e-27,4.38739124558614e-25
AIZARANI_LIVER_C1_NK_NKT_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C1_NK_NKT_CELLS_1,103,15,1.81184307553577e-27,5.00562827868472e-25
TLYMPHOCYTE | ARCHS4,ARCHS4,,,TLYMPHOCYTE,700,20,8.16708101223092e-24,2.06831326634748e-21
HPCA_T_cells_gamma-delta | Human | SaVanT,SaVanT,Human,,HPCA_T_cells_gamma-delta,50,11,2.50796929875155e-22,5.86286053761997e-20
NATURAL KILLER CELLS | ARCHS4,ARCHS4,,,NATURAL KILLER CELLS,1371,22,3.06226064049527e-22,6.43970192897834e-20
HPCA_NK_cells | Human | SaVanT,SaVanT,Human,,HPCA_NK_cells,50,11,3.17853007353324e-22,6.43970192897834e-20
HPCA_T_cells_CD8+ | Human | SaVanT,SaVanT,Human,,HPCA_T_cells_CD8+,50,10,7.83814435115519e-20,1.48875754269754e-17
CD4+ cytotoxic T cell | Liver | Human | CellMarker,CellMarker,Human,Liver,CD4+ cytotoxic T cell,57,10,5.48867847301096e-19,9.81181992910607e-17
Natural killer cell | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,Natural killer cell,34,9,8.35163188872666e-19,1.41003385054668e-16
CUI_DEVELOPING_HEART_C9_B_T_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C9_B_T_CELL,116,11,1.57618375802107e-17,1.68553217613373e-15
IMGN_NK_49CI-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_49CI-_Sp,50,9,1.66390145719025e-17,1.68553217613373e-15
IMGN_NK_49CI+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_49CI+_Sp,50,9,1.66390145719025e-17,1.68553217613373e-15
IMGN_NK_49H-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_49H-_Sp,50,9,1.66390145719025e-17,1.68553217613373e-15
IMGN_NK_49H+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_49H+_Sp,50,9,1.66390145719025e-17,1.68553217613373e-15
IMGN_NK_b2m-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_b2m-_Sp,50,9,1.66390145719025e-17,1.68553217613373e-15
IMGN_NK_DAP10-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_DAP10-_Sp,50,9,1.66390145719025e-17,1.68553217613373e-15
IMGN_NK_H+_MCMV7_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_H+_MCMV7_Sp,50,9,1.66390145719025e-17,1.68553217613373e-15
IMGN_NK_MCMV7_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_MCMV7_Sp,50,9,1.66390145719025e-17,1.68553217613373e-15
IMGN_NK_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NK_Sp,50,9,1.66390145719025e-17,1.68553217613373e-15
IMGN_T_8Eff_Sp_OT1_d15_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Eff_Sp_OT1_d15_VSVOva,50,9,1.66390145719025e-17,1.68553217613373e-15
IMGN_T_8Mem_Sp_OT1_d45_VSVOva | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_8Mem_Sp_OT1_d45_VSVOva,50,9,1.66390145719025e-17,1.68553217613373e-15
SJS | SaVanT,SaVanT,,,SJS,50,9,2.01877216708432e-17,1.97904794057073e-15
AIZARANI_LIVER_C12_NK_NKT_CELLS_4 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C12_NK_NKT_CELLS_4,33,8,9.45111506177735e-17,8.97560583523167e-15
T cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T cells,70,9,4.8602654574874e-16,4.47586264403158e-14
CD8+ Tem_BLUEPRINT_3 | Human | xCell,xCell,Human,,CD8+ Tem_BLUEPRINT_3,42,8,1.19482967093994e-15,1.06796687352544e-13
