celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL,113,9,4.69364089490263e-15,1.42639746796091e-11
TLYMPHOCYTE | ARCHS4,ARCHS4,,,TLYMPHOCYTE,700,10,2.37053277258833e-09,1.75310338099123e-06
CD3plus_T-cell | SaVanT,SaVanT,,,CD3plus_T-cell,50,5,2.60342320732821e-09,1.75310338099123e-06
MA_Tconv | Human | SaVanT,SaVanT,Human,,MA_Tconv,50,5,2.88434251561571e-09,1.75310338099123e-06
MA_Tnaive | Human | SaVanT,SaVanT,Human,,MA_Tnaive,50,5,2.88434251561571e-09,1.75310338099123e-06
Monocyte | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,Monocyte,122,6,6.52546431794382e-09,3.30514767703854e-06
HAY_BONE_MARROW_NAIVE_T_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_NAIVE_T_CELL,293,7,2.56230430234986e-08,1.1124061106916e-05
FAN_EMBRYONIC_CTX_BRAIN_MYELOID | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_MYELOID,98,5,9.86086538996699e-08,3.74589624001371e-05
DENDRITIC CELL | ARCHS4,ARCHS4,,,DENDRITIC CELL,1112,10,1.31543751224307e-07,4.44179399967411e-05
Monocyte | Fetal kidney | Human | CellMarker,CellMarker,Human,Fetal kidney,Monocyte,586,8,1.62797690535547e-07,4.94742181537526e-05
BLOOD DENDRITIC CELLS | ARCHS4,ARCHS4,,,BLOOD DENDRITIC CELLS,917,9,3.69827230135095e-07,9.57673761636555e-05
GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS | Human | MSigDB,MSigDB,Human,,GAO_LARGE_INTESTINE_ADULT_CI_MESENCHYMAL_CELLS,260,6,3.78153509037139e-07,9.57673761636555e-05
Interstitial cell | Human | TISSUES,TISSUES,Human,,Interstitial cell,145,5,5.91768065504133e-07,0.000128455939361933
Interstitial cell of Cajal | Human | TISSUES,TISSUES,Human,,Interstitial cell of Cajal,145,5,5.91768065504133e-07,0.000128455939361933
MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL,500,7,9.41490086884897e-07,0.00019074589160288
Brain cortex cell line | Human | TISSUES,TISSUES,Human,,Brain cortex cell line,168,5,1.1859139799363e-06,0.000218306281256079
Brain cell line | Human | TISSUES,TISSUES,Human,,Brain cell line,169,5,1.22119341275201e-06,0.000218306281256079
ZHENG_CORD_BLOOD_C2_PUTATIVE_BASOPHIL_EOSINOPHIL_MAST_CELL_PROGENITOR | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C2_PUTATIVE_BASOPHIL_EOSINOPHIL_MAST_CELL_PROGENITOR,76,4,1.67532438732434e-06,0.000282850600726593
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR,79,4,2.16452245472515e-06,0.000346209670521566
CORD BLOOD | ARCHS4,ARCHS4,,,CORD BLOOD,1190,9,3.07061914665424e-06,0.000466580579334112
CD4+ T CELL | ARCHS4,ARCHS4,,,CD4+ T CELL,1182,9,3.79305110105481e-06,0.00053104382727742
REGULATORY T CELLS | ARCHS4,ARCHS4,,,REGULATORY T CELLS,1199,9,3.84434491612479e-06,0.00053104382727742
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2 | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2,235,5,6.15786462139882e-06,0.000813641329757871
Lymphoid tissue | Human | TISSUES,TISSUES,Human,,Lymphoid tissue,1345,9,8.51642437620556e-06,0.00107839223663703
Immune system | Human | TISSUES,TISSUES,Human,,Immune system,1362,9,9.54324123618402e-06,0.00116007640467053
NATURAL KILLER CELLS | ARCHS4,ARCHS4,,,NATURAL KILLER CELLS,1371,9,1.06131391000919e-05,0.00120778191768185
Enteroendocrine cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Enteroendocrine cell,105,4,1.07305402360678e-05,0.00120778191768185
Migration phase fetal germ cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Migration phase fetal germ cell,121,4,1.25958532619807e-05,0.00136709993082712
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL,272,5,1.441520270345e-05,0.00148812036826579
Granulosa cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Granulosa cell,131,4,1.46902306837689e-05,0.00148812036826579
Mitotic fetal germ cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Mitotic fetal germ cell,487,6,1.55749301917145e-05,0.00152684557589098
CD4plus_T-cell | SaVanT,SaVanT,,,CD4plus_T-cell,50,3,2.64061342973321e-05,0.00222911783693311
MA_iTreg_IL-2 | Human | SaVanT,SaVanT,Human,,MA_iTreg_IL-2,50,3,2.64061342973321e-05,0.00222911783693311
MA_Tresting | Human | SaVanT,SaVanT,Human,,MA_Tresting,50,3,2.64061342973321e-05,0.00222911783693311
MA_Tstim | Human | SaVanT,SaVanT,Human,,MA_Tstim,50,3,2.64061342973321e-05,0.00222911783693311
Mesenchymal stem cell | Human | CellMarker,CellMarker,Human,,Mesenchymal stem cell,50,3,2.64061342973321e-05,0.00222911783693311
MA_Tmemory | Human | SaVanT,SaVanT,Human,,MA_Tmemory,50,3,2.80357425227192e-05,0.00224212161911957
MA_Treg | Human | SaVanT,SaVanT,Human,,MA_Treg,50,3,2.80357425227192e-05,0.00224212161911957
Fibroblast | Mouse | CellMarker,CellMarker,Mouse,,Fibroblast,8,2,3.69407406295478e-05,0.00287853617367169
Stem cell | Dental pulp | Human | CellMarker,CellMarker,Human,Dental pulp,Stem cell,9,2,4.74619068952031e-05,0.00356482867808624
Vertebrate muscular system | Mouse | TISSUES,TISSUES,Mouse,,Vertebrate muscular system,58,3,4.80941019419335e-05,0.00356482867808624
MENON_FETAL_KIDNEY_3_STROMAL_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_3_STROMAL_CELLS,64,3,5.55527799387334e-05,0.00401964043413836
Fibroblast | Human | CellMarker,CellMarker,Human,,Fibroblast,10,2,5.92857506451135e-05,0.00418998595838372
MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS,79,3,0.000112337935283684,0.00742163011580688
Muscle | Mouse | TISSUES,TISSUES,Mouse,,Muscle,78,3,0.000112337935283684,0.00742163011580688
Muscular system | Mouse | TISSUES,TISSUES,Mouse,,Muscular system,78,3,0.000112337935283684,0.00742163011580688
Stem cell | Periodontal ligament | Human | CellMarker,CellMarker,Human,Periodontal ligament,Stem cell,15,2,0.00013784877794803,0.00886390934521066
Leukocyte | Human | TISSUES,TISSUES,Human,,Leukocyte,724,6,0.000140002516804907,0.00886390934521066
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA,90,3,0.00015877457410285,0.00984726389180735
LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR,92,3,0.000164004983377407,0.00996822288967877
AIZARANI_LIVER_C33_STELLATE_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C33_STELLATE_CELLS_2,93,3,0.000169346314846385,0.0100910480552581
Neural crest cell | Human | CellMarker,CellMarker,Human,,Neural crest cell,17,2,0.000178296548981238,0.0104200617760381
Hematopoietic cell | Human | TISSUES,TISSUES,Human,,Hematopoietic cell,765,6,0.000188707283556753,0.0108204044288485
MYOBLAST | ARCHS4,ARCHS4,,,MYOBLAST,1541,8,0.000214403272042878,0.0120661396988575
MURARO_PANCREAS_ENDOTHELIAL_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_ENDOTHELIAL_CELL,264,4,0.000224765915189698,0.0124193384774817
Neutrophil | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,Neutrophil,94,3,0.000235719338664911,0.0127919833964762
Mesenchymal stromal cell | Bone marrow | Human | CellMarker,CellMarker,Human,Bone marrow,Mesenchymal stromal cell,20,2,0.000248566919532096,0.0132525415518955
Neural stem cell | Brain | Human | CellMarker,CellMarker,Human,Brain,Neural stem cell,21,2,0.000274539147733271,0.0143849046545071
HU_FETAL_RETINA_FIBROBLAST | Human | MSigDB,MSigDB,Human,,HU_FETAL_RETINA_FIBROBLAST,281,4,0.000293093601502566,0.0150968043214627
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS,22,2,0.000301781237694785,0.0152852196892409
Blood | Human | TISSUES,TISSUES,Human,,Blood,1651,8,0.000335666724019014,0.0167228061359637
Adenocarcinoma cell | Human | TISSUES,TISSUES,Human,,Adenocarcinoma cell,543,5,0.000344105822175989,0.0168667353805295
CLP_BLUEPRINT_3 | Human | xCell,xCell,Human,,CLP_BLUEPRINT_3,24,2,0.000360064173759617,0.0173688099056425
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE,114,3,0.000454257502072017,0.0210853719492443
Carcinoma cell | Human | TISSUES,TISSUES,Human,,Carcinoma cell,578,5,0.00045792515585723,0.0210853719492443
Epithelioma cell | Human | TISSUES,TISSUES,Human,,Epithelioma cell,578,5,0.00045792515585723,0.0210853719492443
HAY_BONE_MARROW_NEUTROPHIL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_NEUTROPHIL,323,4,0.000489772602734738,0.0222152080553861
Liver bud hepatic cell | Liver | Human | CellMarker,CellMarker,Human,Liver,Liver bud hepatic cell,136,3,0.000552430623645712,0.0246887744891076
HU_FETAL_RETINA_RGC | Human | MSigDB,MSigDB,Human,,HU_FETAL_RETINA_RGC,337,4,0.000574512907450039,0.0253035467498648
AIZARANI_LIVER_C21_STELLATE_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C21_STELLATE_CELLS_1,144,3,0.00061240874485449,0.0265872882230399
Connective tissue | Human | TISSUES,TISSUES,Human,,Connective tissue,621,5,0.000629974823964908,0.0267869408295461
Bergmann glia | Brain | Human | PanglaoDB,PanglaoDB,Human,Brain,Bergmann glia,32,2,0.000643450701071691,0.0267869408295461
Bergmann glia | Brain | Mouse | PanglaoDB,PanglaoDB,Mouse,Brain,Bergmann glia,32,2,0.000643450701071691,0.0267869408295461
AIZARANI_LIVER_C2_KUPFFER_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C2_KUPFFER_CELLS_1,147,3,0.000663283790342053,0.0272394518763446
Mesenchymal stromal cell | Human | CellMarker,CellMarker,Human,,Mesenchymal stromal cell,33,2,0.000684483407402436,0.0277352676679467
Gastrointestinal tract | Human | TISSUES,TISSUES,Human,,Gastrointestinal tract,1392,7,0.000759388301445065,0.0303655401064678
AIZARANI_LIVER_C23_KUPFFER_CELLS_3 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C23_KUPFFER_CELLS_3,158,3,0.000816924611109229,0.0322419986124798
Alimentary canal | Human | TISSUES,TISSUES,Human,,Alimentary canal,1433,7,0.000902248244970219,0.0349353515717969
T memory cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T memory cells,38,2,0.000908158201438616,0.0349353515717969
Breast cancer cell | Human | TISSUES,TISSUES,Human,,Breast cancer cell,166,3,0.000925575092657645,0.0351602838323323
Schwalie et al.Nature.G4 | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,Schwalie et al.Nature.G4,150,3,0.000958221900888734,0.035951066133344
DC_FANTOM_2 | Human | xCell,xCell,Human,,DC_FANTOM_2,42,2,0.00116244233317919,0.0420555029825184
T memory cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T memory cells,40,2,0.00116244233317919,0.0420555029825184
ZHONG_PFC_C8_ORG_PROLIFERATING | Human | MSigDB,MSigDB,Human,,ZHONG_PFC_C8_ORG_PROLIFERATING,43,2,0.00116244233317919,0.0420555029825184
ZHONG_PFC_C1_OPC | Human | MSigDB,MSigDB,Human,,ZHONG_PFC_C1_OPC,178,3,0.00120739677036194,0.0431679857074111
Brush cell (Tuft cell) | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Brush cell (Tuft cell),166,3,0.0013255903782134,0.0464431960832043
CUI_DEVELOPING_HEART_COMPACT_VENTRICULAR_CARDIOMYOCYTE | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_COMPACT_VENTRICULAR_CARDIOMYOCYTE,46,2,0.00132956829853201,0.0464431960832043
HU_FETAL_RETINA_BLOOD | Human | MSigDB,MSigDB,Human,,HU_FETAL_RETINA_BLOOD,199,3,0.00156078109562592,0.0501018726041685
HPCA_T_cells_CD4+ | Human | SaVanT,SaVanT,Human,,HPCA_T_cells_CD4+,50,2,0.00156923772168266,0.0501018726041685
IMGN_T_4SP24int_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4SP24int_Th,50,2,0.00156923772168266,0.0501018726041685
IMGN_T_DP_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DP_Th,50,2,0.00156923772168266,0.0501018726041685
