celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
IMGN_T_DP69+_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DP69+_Th,50,2,0.00156923772168266,0.0501018726041685
IMGN_T_DPsm_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_DPsm_Th,50,2,0.00156923772168266,0.0501018726041685
MA_iTreg | Human | SaVanT,SaVanT,Human,,MA_iTreg,50,2,0.00156923772168266,0.0501018726041685
MA_T_CD3+ | Human | SaVanT,SaVanT,Human,,MA_T_CD3+,50,2,0.00156923772168266,0.0501018726041685
CD8plus_T-cell | SaVanT,SaVanT,,,CD8plus_T-cell,50,2,0.00163214392491368,0.0501018726041685
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS,51,2,0.00163214392491368,0.0501018726041685
HPCA_T_cells_CD8+ | Human | SaVanT,SaVanT,Human,,HPCA_T_cells_CD8+,50,2,0.00163214392491368,0.0501018726041685
MF | SaVanT,SaVanT,,,MF,50,2,0.00163214392491368,0.0501018726041685
HBA_Thymus | Human | SaVanT,SaVanT,Human,,HBA_Thymus,50,2,0.00176152478087787,0.0532731353650145
CD34+ CELL | ARCHS4,ARCHS4,,,CD34+ CELL,1161,6,0.00177051223161121,0.0532731353650145
Effector CD8+ memory T (Tem) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Effector CD8+ memory T (Tem) cell,52,2,0.00182799425847597,0.0534161014568121
HBA_Lymphnode | Human | SaVanT,SaVanT,Human,,HBA_Lymphnode,50,2,0.00182799425847597,0.0534161014568121
Skeletal muscle | Mouse | TISSUES,TISSUES,Mouse,,Skeletal muscle,51,2,0.00182799425847597,0.0534161014568121
HBA_CD4+_Tcells | Human | SaVanT,SaVanT,Human,,HBA_CD4+_Tcells,50,2,0.00189564632552987,0.0538635186515944
HBA_CD8+_Tcells | Human | SaVanT,SaVanT,Human,,HBA_CD8+_Tcells,50,2,0.00189564632552987,0.0538635186515944
Spleen | Human | TISSUES,TISSUES,Human,,Spleen,461,4,0.00189647795186594,0.0538635186515944
LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB,215,3,0.00205249681822532,0.0577549799128402
FORESKIN FIBROBLAST | ARCHS4,ARCHS4,,,FORESKIN FIBROBLAST,1224,6,0.00236301414402463,0.0657658010697953
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PERICYTES | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PERICYTES,62,2,0.00240210724539233,0.0657658010697953
MENON_FETAL_KIDNEY_10_IMMUNE_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_10_IMMUNE_CELLS,57,2,0.00240210724539233,0.0657658010697953
Embryonic structure | Mouse | TISSUES,TISSUES,Mouse,,Embryonic structure,1632,7,0.00258135537638499,0.0694224689277344
Organism form | Mouse | TISSUES,TISSUES,Mouse,,Organism form,1632,7,0.00258135537638499,0.0694224689277344
aDC_IRIS_3 | Human | xCell,xCell,Human,,aDC_IRIS_3,67,2,0.00288157117360136,0.0750094089165322
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_FIBROBLASTS_STROMAL_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_FIBROBLASTS_STROMAL_CELLS,68,2,0.00288157117360136,0.0750094089165322
Lymphocyte | Human | TISSUES,TISSUES,Human,,Lymphocyte,520,4,0.00288782521988624,0.0750094089165322
Lymphoid cell | Human | TISSUES,TISSUES,Human,,Lymphoid cell,520,4,0.00288782521988624,0.0750094089165322
LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA,243,3,0.00292196282957937,0.0752529240600993
Naive CD8+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Naive CD8+ T cell,68,2,0.00296551057061934,0.0757326607068249
Plasmacytoid dendritic cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Plasmacytoid dendritic cell,251,3,0.00302300408726601,0.0765575785100117
Astrocyte | Embryonic prefrontal cortex | Human | CellMarker,CellMarker,Human,Embryonic prefrontal cortex,Astrocyte,246,3,0.00305715997899279,0.0767827204641247
T cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T cells,70,2,0.003136819820855,0.0781376675047406
Morula cell (Blastomere) | Embryo | Human | CellMarker,CellMarker,Human,Embryo,Morula cell (Blastomere),72,2,0.00322418463721267,0.0790185251007202
T cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T cells,69,2,0.00322418463721267,0.0790185251007202
LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB,256,3,0.00330296641914709,0.0798988369158522
Granulocyte-monocyte progenitor | Umbilical cord blood | Human | CellMarker,CellMarker,Human,Umbilical cord blood,Granulocyte-monocyte progenitor,72,2,0.00331268622948252,0.0798988369158522
Goblet cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Goblet cell,233,3,0.00386996740033849,0.0926049679498321
MURARO_PANCREAS_ACINAR_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_ACINAR_CELL,558,4,0.00391301419826864,0.0929035167854563
Uterus | Human | TISSUES,TISSUES,Human,,Uterus,1366,6,0.00397981409490162,0.0937570157705894
LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB,285,3,0.00440692025836709,0.102233821871585
Uterine cervix | Human | TISSUES,TISSUES,Human,,Uterine cervix,285,3,0.00440692025836709,0.102233821871585
Paneth cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Paneth cell,241,3,0.0045369655476877,0.104453320450174
Enteroendocrine precursor cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Enteroendocrine precursor cell,258,3,0.00466933860285379,0.106692631684757
MANNO_MIDBRAIN_NEUROTYPES_HPERIC | Human | MSigDB,MSigDB,Human,,MANNO_MIDBRAIN_NEUROTYPES_HPERIC,594,4,0.00475803615155413,0.107907998989351
Cardiovascular system | Human | TISSUES,TISSUES,Human,,Cardiovascular system,619,4,0.00537557386375596,0.108825612827662
Angiogenic T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Angiogenic T cell,5,1,0.00590859694523338,0.108825612827662
Bone marrow stem cell | Bone marrow | Human | CellMarker,CellMarker,Human,Bone marrow,Bone marrow stem cell,5,1,0.00590859694523338,0.108825612827662
CD4+ T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,CD4+ T cell,5,1,0.00590859694523338,0.108825612827662
CD4+CD25+ regulatory T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,CD4+CD25+ regulatory T cell,5,1,0.00590859694523338,0.108825612827662
CD8+ T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,CD8+ T cell,5,1,0.00590859694523338,0.108825612827662
CD8+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,CD8+ T cell,5,1,0.00590859694523338,0.108825612827662
Colorectal stem cell | Colorectum | Human | CellMarker,CellMarker,Human,Colorectum,Colorectal stem cell,5,1,0.00590859694523338,0.108825612827662
Immune cell (Ovarian Cancer) | Ovary | Human | CellMarker,CellMarker,Human,Ovary,Immune cell (Ovarian Cancer),5,1,0.00590859694523338,0.108825612827662
Immune cell | Ovary | Human | CellMarker,CellMarker,Human,Ovary,Immune cell,5,1,0.00590859694523338,0.108825612827662
Infiltrated mononuclear cell | Kidney | Human | CellMarker,CellMarker,Human,Kidney,Infiltrated mononuclear cell,5,1,0.00590859694523338,0.108825612827662
Liver stem cell | Liver | Mouse | CellMarker,CellMarker,Mouse,Liver,Liver stem cell,5,1,0.00590859694523338,0.108825612827662
Mesenchymal stem cell | Liver | Human | CellMarker,CellMarker,Human,Liver,Mesenchymal stem cell,5,1,0.00590859694523338,0.108825612827662
Mesenchymal stromal cell | Skeletal muscle | Human | CellMarker,CellMarker,Human,Skeletal muscle,Mesenchymal stromal cell,5,1,0.00590859694523338,0.108825612827662
Myoepithelial cell | Breast | Human | CellMarker,CellMarker,Human,Breast,Myoepithelial cell,5,1,0.00590859694523338,0.108825612827662
Naive T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Naive T cell,5,1,0.00590859694523338,0.108825612827662
Natural killer T (NKT) cell | Lymphoid tissue | Mouse | CellMarker,CellMarker,Mouse,Lymphoid tissue,Natural killer T (NKT) cell,5,1,0.00590859694523338,0.108825612827662
Natural killer T (NKT) cell | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,Natural killer T (NKT) cell,5,1,0.00590859694523338,0.108825612827662
Osteoclast precursor cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Osteoclast precursor cell,5,1,0.00590859694523338,0.108825612827662
Progenitor cell | Breast | Human | CellMarker,CellMarker,Human,Breast,Progenitor cell,5,1,0.00590859694523338,0.108825612827662
Sertoli cell | Testis | Human | CellMarker,CellMarker,Human,Testis,Sertoli cell,5,1,0.00590859694523338,0.108825612827662
Stem cell | Deciduous tooth | Human | CellMarker,CellMarker,Human,Deciduous tooth,Stem cell,5,1,0.00590859694523338,0.108825612827662
T cell (B cell type MALT lymphoma) | Lymphoid tissue | Human | CellMarker,CellMarker,Human,Lymphoid tissue,T cell (B cell type MALT lymphoma),5,1,0.00590859694523338,0.108825612827662
T cell (Follicular Lymphoma) | Lymph node | Human | CellMarker,CellMarker,Human,Lymph node,T cell (Follicular Lymphoma),5,1,0.00590859694523338,0.108825612827662
T cell (Melanoma) | Human | CellMarker,CellMarker,Human,,T cell (Melanoma),5,1,0.00590859694523338,0.108825612827662
T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,T cell,5,1,0.00590859694523338,0.108825612827662
T cell | Lymphoid tissue | Human | CellMarker,CellMarker,Human,Lymphoid tissue,T cell,5,1,0.00590859694523338,0.108825612827662
T cell | Peripheral blood | Mouse | CellMarker,CellMarker,Mouse,Peripheral blood,T cell,5,1,0.00590859694523338,0.108825612827662
T cell | Peyer patch | Mouse | CellMarker,CellMarker,Mouse,Peyer patch,T cell,5,1,0.00590859694523338,0.108825612827662
T cell | Thymus | Mouse | CellMarker,CellMarker,Mouse,Thymus,T cell,5,1,0.00590859694523338,0.108825612827662
T cell | Thyroid | Human | CellMarker,CellMarker,Human,Thyroid,T cell,5,1,0.00590859694523338,0.108825612827662
CD4+ memory T-cells_FANTOM_3 | Human | xCell,xCell,Human,,CD4+ memory T-cells_FANTOM_3,98,2,0.00600459367666406,0.109269222654983
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_CILIATED_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_CILIATED_CELLS,98,2,0.00600459367666406,0.109269222654983
FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL,102,2,0.00648402554451936,0.11578186166622
CUI_DEVELOPING_HEART_C4_ENDOTHELIAL_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C4_ENDOTHELIAL_CELL,106,2,0.00685474560817098,0.11578186166622
Cancer stem cell (Astroblastoma) | Human | CellMarker,CellMarker,Human,,Cancer stem cell (Astroblastoma),6,1,0.007086352836432,0.11578186166622
CD4+CD25+ regulatory T cell | Lymphoid tissue | Mouse | CellMarker,CellMarker,Mouse,Lymphoid tissue,CD4+CD25+ regulatory T cell,6,1,0.007086352836432,0.11578186166622
CD4+CD25+ regulatory T cell | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,CD4+CD25+ regulatory T cell,6,1,0.007086352836432,0.11578186166622
Dendritic cell | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,Dendritic cell,6,1,0.007086352836432,0.11578186166622
Fibroblast | Heart | Mouse | CellMarker,CellMarker,Mouse,Heart,Fibroblast,6,1,0.007086352836432,0.11578186166622
Fibroblast | Vocal fold | Human | CellMarker,CellMarker,Human,Vocal fold,Fibroblast,6,1,0.007086352836432,0.11578186166622
Leukocyte | Blood | Human | CellMarker,CellMarker,Human,Blood,Leukocyte,6,1,0.007086352836432,0.11578186166622
Mesenchymal stem cell | Gingiva | Human | CellMarker,CellMarker,Human,Gingiva,Mesenchymal stem cell,6,1,0.007086352836432,0.11578186166622
Mesenchymal stromal cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Mesenchymal stromal cell,6,1,0.007086352836432,0.11578186166622
Natural killer cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Natural killer cell,6,1,0.007086352836432,0.11578186166622
Radial glial cell | Human | CellMarker,CellMarker,Human,,Radial glial cell,6,1,0.007086352836432,0.11578186166622
